Ward Num,Ward Name,Population
1,Kempegowda Ward,34783
2,Chowdeswari Ward,36602
3,Atturu,58129
4,Yelahanka Satellite Town,41986
5,Jakkuru,52025
6,Thanisandra,71855
7,Byatarayanapura,72154
8,Kodigehalli,47546
9,Vidyaranyapura,57195
10,Dodda Bommasandra,36396
11,Kuvempu Nagar,37128
12,Shettihalli,61071
13,Mallasandra,41482
14,Bagalakunte,65113
15,T Dasarahalli,33042
16,Jalahalli,37959
17,J P Park,49610
18,Radhakrishna Temple Ward,35122
19,Sanjaya Nagar,32491
20,Ganga Nagar,27361
21,Hebbala,32516
22,Vishwanath Nagenahalli,51592
23,Nagavara,60483
24,HBR Layout,58967
25,Horamavu,95368
26,Ramamurthy Nagar,47358
27,Banasavadi,51268
28,Kammanahalli,47074
29,Kacharkanahalli,33588
30,Kadugondanahalli,45748
31,Kushal Nagar,41936
32,Kaval Bairasandra,39334
33,Manorayanapalya,47926
34,Gangenahalli,24308
35,Aramane Nagara,36738
36,Mattikere,37036
37,Yeshwanthpura,41107
38,HMT Ward,36879
39,Chokkasandra,59289
40,Dodda Bidarakallu,72794
41,Peenya Industrial Area,57814
42,Lakshmi Devi Nagar,41352
43,Nandini Layout,51200
44,Marappana Palya,40212
45,Malleswaram,34196
46,Jayachamarajendra  Nagar,31449
47,Devara Jeevanahalli,42135
48,Muneshwara Nagar,35814
49,Lingarajapura,37955
50,Benniganahalli,49094
51,Vijnanapura,46159
52,K R Puram,35168
53,Basavanapura,48585
54,Hudi,50191
55,Devasandra,33946
56,A Narayanapura,43443
57,C V Raman Nagar,58815
58,New Tippasandara,43983
59,Maruthi Seva Nagar,40362
60,Sagayarapuram,35334
61,S K Garden,38050
62,Ramaswamy Palya,34394
63,Jayamahal,21728
64,Rajamahal Guttahalli,31118
65,Kadu Malleshwar Ward,35609
66,Subramanya Nagar,35709
67,Nagapura,34574
68,Mahalakshimpuram,44615
69,Laggere,57077
70,Rajagopal Nagar,61479
71,Hegganahalli,66314
72,Herohalli,62272
73,Kottegepalya,68922
74,Shakthi Ganapathi Nagar,43844
75,Shankar Matt,48734
76,Gayithri Nagar,33236
77,Dattatreya Temple,33388
78,Pulikeshinagar,28835
79,Sarvagna Nagar,37291
80,Hoysala Nagar,35228
81,Vijnana Nagar,57062
82,Garudachar Playa,49631
83,Kadugodi,43942
84,Hagadur,50556
85,Dodda Nekkundi,63083
86,Marathahalli,39768
87,HAL Airport,39926
88,Jeevanbhima Nagar,38251
89,Jogupalya,33793
90,Halsoor,35090
91,Bharathi Nagar,32689
92,Shivaji Nagar,37506
93,Vasanth Nagar,22815
94,Gandhinagar,31208
95,Subhash Nagar,37693
96,Okalipuram,38110
97,Dayananda Nagar,35721
98,Prakash Nagar,32913
99,Rajaji Nagar,33084
100,Basaveshwara Nagar,30333
101,Kamakshipalya,30051
102,Vrisabhavathi Nagar,50893
103,Kaveripura,53532
104,Govindaraja Nagar,26873
105,Agrahara Dasarahalli,28355
106,Dr. Raj Kumar Ward,24181
107,Shivanagara,36461
108,Sriramamandir,33866
109,Chickpete,33292
110,Sampangiram Nagar,27504
111,Shantala Nagar,22995
112,Domlur,30638
113,Konena Agrahara,38108
114,Agaram,36916
115,Vannarpet,37060
116,Nilasandra,48534
117,Shanthi Nagar,42095
118,Sudham Nagara,28784
119,Dharmaraya Swamy Temple wa,27076
120,Cottonpete,37344
121,Binnipete,37354
122,Kempapura Agrahara,40032
123,Vijayanagar,40331
124,Hosahalli,37347
125,Marenahalli,21171
126,Maruthi Mandir ward,29319
127,Mudalapalya,43729
128,Nagarabhavi,35780
129,Jnana Bharathi ward,68132
130,Ullalu,58199
131,Nayandahalli,42785
132,Attiguppe,41487
133,Hampi Nagar,35113
134,Bapuji Nagar,49484
135,Padarayanapura,37599
136,Jagajivanaramnagar,38639
137,Rayapuram,36039
138,Chalavadipalya,24801
139,K R Market,29344
140,Chamrajapet,32213
141,Azad Nagar,38825
142,Sunkenahalli,34666
143,Vishveshwara Puram,32462
144,Siddapura,34879
145,Hombegowda Nagara,38309
146,Lakkasandra,30667
147,Adugodi,34299
148,Ejipura,47004
149,Varthuru,54625
150,Bellanduru,80180
151,Koramangala,38316
152,Suddagunte Palya,39997
153,Jayanagar,38151
154,Basavanagudi,32640
155,Hanumanth Nagar,36982
156,Srinagar,41379
157,Gali Anjenaya Temple ward,34653
158,Deepanjali Nagar,45928
159,Kengeri,40771
160,Rajarajeshwari Nagar,56897
161,Hosakerehalli,46805
162,Girinagar,43195
163,Katriguppe,45572
164,Vidyapeeta ward,43483
165,Ganesh Mandir ward,25998
166,Karisandra,27040
167,Yediyur,32756
168,Pattabhiram Nagar,28353
169,Byrasandra,32066
170,Jayanagar East,33927
171,Gurappanapalya,48991
172,Madivala,42624
173,Jakkasandra,33521
174,HSR Layout,63033
175,Bommanahalli,43585
176,BTM Layout,52250
177,J P Nagar,28846
178,Sarakki,31034
179,Shakambari Nagar,25871
180,Banashankari Temple ward,42171
181,Kumaraswamy Layout,47182
182,Padmanabha Nagar,41037
183,Chikkalsandra,43364
184,Uttarahalli,57209
185,Yelchenahalli,46943
186,Jaraganahalli,38294
187,Puttenahalli,49207
188,Bilekhalli,49884
189,Hongasandra,68554
190,Mangammanapalya,65890
191,Singasandra,71004
192,Begur,80037
193,Arakere,58355
194,Gottigere,51911
195,Konankunte,57335
196,Anjanapura,45608
197,Vasanthpura,62057
198,Hemmigepura,50440
